Project ID,Voluntary Registry,Voluntary Status,Scope,Type,Country,"Total Credits 
Issued",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR411,ACR,Registered,Waste Management,Reduction,United States,149060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50086,-50086,62370
ACR422,ACR,Registered,Forestry & Land Use,Mixed,United States,66196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11139,0,55057,-11139
ACR424,ACR,Registered,Forestry & Land Use,Mixed,United States,106469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12331,13125,26772,0
ACR430,ACR,Listed,Forestry & Land Use,Mixed,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR440,ACR,Registered,Chemical Processes,Reduction,United States,127682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127682,0,0
ACR441,ACR,Registered,Forestry & Land Use,Mixed,United States,298370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141710,24966,56212,-88331
ACR446,ACR,Registered,Chemical Processes,Reduction,United States,63104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28104,0,0
ACR447,ACR,Registered,Chemical Processes,Reduction,United States,93458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93458,-18570,0
ACR448,ACR,Registered,Chemical Processes,Reduction,United States,85790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85790,-500,-500
ACR449,ACR,Registered,Chemical Processes,Reduction,United States,110988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96948,-19730,0
ACR450,ACR,Registered,Chemical Processes,Reduction,United States,110310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR451,ACR,Registered,Chemical Processes,Reduction,United States,105696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACR454,ACR,Registered,Chemical Processes,Reduction,United States,291983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258480,-8480,-18
ACR455,ACR,Registered,Chemical Processes,Reduction,United States,520153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520153,-20817,0
ACR457,ACR,Registered,Chemical Processes,Reduction,United States,46868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46868,-1,-45604,0
ACR459,ACR,Registered,Forestry & Land Use,Mixed,United States,255473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20780,118480,-2000
