Project ID,Registry,Voluntary_Status,Scope,Type,Country,Total_Credits,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACR556,ACR,Completed,Chemical_Processes,Reduction,United States of America,127328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27453,99875
ACR557,ACR,Completed,Chemical_Processes,Reduction,United States of America,55185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15052,40133
ACR562,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,5730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730
ACR564,ACR,Completed,Chemical_Processes,Reduction,United States of America,8005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005
ACR566,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,4844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4844
ACR573,ACR,Completed,Chemical_Processes,Reduction,United States of America,12601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12601
ACR574,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,66495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18944,47551
ACR585,ACR,Completed,Chemical_Processes,Reduction,United States of America,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000
ACR586,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,22638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22638
ACR587,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000
ACR588,ACR,Registered,Forestry_Land_Use,Mixed,United States of America,63500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63500
